institution,region,institution_size,avg_salary,regional_salary,age,gender,tenure_years,performance_grade,workload_level,flexible_work,quarter,overtime_hours,vacation_usage_rate,commute_time,burnout_risk_score,burnout_risk_level,quit_probability,expected_total_tenure
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,57,F,4,C,medium,N,2024Q1,11,0.62,52,30,low,0.42,10
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,25,F,0,C,medium,Y,2024Q3,15,0.8,58,32,low,0.46,7
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,51,M,8,C,low,Y,2024Q1,0,0.77,54,5,low,0.27,15
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,23,F,1,A,low,Y,2024Q2,5,0.88,33,0,low,0.24,10
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,40,M,1,A,low,N,2024Q4,5,0.87,63,15,low,0.34,9
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,41,M,12,B,medium,N,2024Q2,7,0.59,71,45,medium,0.28,17
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,38,F,4,C,medium,N,2024Q3,8,0.71,44,25,low,0.42,10
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,33,F,11,B,medium,Y,2024Q2,13,0.82,56,20,low,0.14,20
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,22,M,0,A,medium,N,2024Q4,2,0.68,57,30,low,0.39,8
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,38,M,7,B,medium,N,2024Q3,10,0.67,78,35,medium,0.34,12
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,44,M,8,B,medium,Y,2024Q3,4,0.66,61,20,low,0.22,15
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,35,F,4,B,high,Y,2024Q1,25,0.53,22,65,high,0.39,6
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,41,F,4,C,medium,N,2024Q1,14,0.71,71,35,medium,0.44,9
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,32,F,5,C,high,N,2024Q4,24,0.57,86,72,high,0.58,6
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,58,M,6,B,medium,N,2024Q1,7,0.8,47,25,low,0.32,12
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,46,F,7,B,medium,N,2024Q4,4,0.77,59,30,low,0.32,13
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,34,M,4,B,medium,Y,2024Q3,21,0.63,70,37,medium,0.26,10
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,34,F,2,B,medium,Y,2024Q4,5,0.61,80,25,low,0.36,9
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,39,F,10,B,high,N,2024Q4,30,0.42,73,85,high,0.43,11
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,40,M,3,A,medium,N,2024Q3,12,0.69,62,30,low,0.27,11
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,39,F,2,B,medium,N,2024Q1,10,0.68,50,30,low,0.44,8
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,36,M,1,B,low,Y,2024Q2,0,0.85,72,10,low,0.31,8
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,22,F,0,B,high,N,2024Q3,16,0.64,66,62,medium,0.56,3
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,39,F,8,B,medium,N,2024Q1,12,0.76,89,35,medium,0.34,13
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,46,F,7,B,high,N,2024Q3,25,0.36,77,95,high,0.54,8
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,41,M,7,B,medium,Y,2024Q3,4,0.66,67,20,low,0.22,14
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,22,F,0,B,low,N,2024Q4,6,0.63,41,10,low,0.39,6
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,34,M,10,B,medium,N,2024Q2,15,0.6,55,52,medium,0.28,15
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,52,M,6,B,medium,N,2024Q2,11,0.8,42,25,low,0.32,12
(사)남북교류협력지원협회,서울특별시,40.0,60861.0,56290.83,46,F,7,C,high,N,2024Q2,20,0.28,60,77,high,0.59,8
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,30,F,2,C,medium,Y,2024Q3,0,0.69,49,15,low,0.44,9
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,31,M,1,A,low,N,2024Q3,6,0.83,54,15,low,0.34,9
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,54,M,7,C,medium,N,2024Q1,10,0.62,46,25,low,0.42,13
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,49,F,13,B,medium,Y,2024Q1,0,0.66,65,20,low,0.14,22
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,33,F,11,A,low,N,2024Q2,5,0.83,62,15,low,0.14,21
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,29,M,7,C,low,N,2024Q2,3,0.92,36,10,low,0.37,13
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,27,F,3,B,high,N,2024Q3,20,0.63,50,57,medium,0.44,6
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,33,M,3,B,medium,Y,2024Q3,15,0.72,75,37,medium,0.26,9
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,36,F,6,B,medium,Y,2024Q1,14,0.56,55,30,low,0.24,13
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,37,F,8,B,medium,N,2024Q2,13,0.74,37,25,low,0.32,14
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,32,M,10,B,medium,N,2024Q1,8,0.85,60,30,low,0.24,16
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,59,M,10,B,medium,Y,2024Q3,0,0.77,41,15,low,0.14,19
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,28,F,2,C,high,Y,2024Q2,26,0.56,95,75,high,0.63,3
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,37,F,4,A,low,N,2024Q4,4,0.89,64,15,low,0.22,12
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,28,M,3,B,low,N,2024Q3,6,0.87,46,10,low,0.27,9
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,31,F,5,B,medium,Y,2024Q4,3,0.79,50,20,low,0.22,12
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,37,F,1,B,medium,N,2024Q1,16,0.62,49,37,medium,0.46,6
