기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
(사)남북교류협력지원협회,기타공공기관,통일부,40.0,12.0,60861.0,,서울특별시,0.3,
(재)예술경영지원센터,기타공공기관,문화체육관광부,73.0,4.0,48913.0,114338.0,서울특별시,0.0547945205479452,2.337578966736859
(재)우체국금융개발원,준정부기관(위탁집행형),과학기술정보통신부,851.0,40.0,57780.0,189767.0,서울특별시,0.04700352526439483,3.284302526825891
(재)우체국물류지원단,준정부기관(위탁집행형),과학기술정보통신부,1480.5,66.0,58397.0,188447.0,서울특별시,0.044579533941236066,3.226997962224087
(재)우체국시설관리단,기타공공기관,과학기술정보통신부,2279.0,4.0,68208.0,198674.0,서울특별시,0.0017551557700745941,2.912766830870279
(재)일제강제동원피해자지원재단,기타공공기관,행정안전부,52.0,5.0,54225.0,100729.0,서울특별시,0.09615384615384616,1.8576118026740434
(재)축산환경관리원,기타공공기관,농림축산식품부,48.0,4.0,68622.0,150068.0,세종특별자치시,0.08333333333333333,2.186878843519571
(재)한국보건의료정보원,기타공공기관,보건복지부,119.0,9.0,60513.0,203430.0,서울특별시,0.07563025210084033,3.3617569778394727
(재)한국우편사업진흥원,기타공공기관,과학기술정보통신부,504.0,14.0,60845.0,207581.0,서울특별시,0.027777777777777776,3.411636124578848
(재)한국통계정보원,기타공공기관,국가데이터처,170.0,0.0,57779.0,147200.0,대전광역시,0.0,2.547638415341214
(주)강원랜드,공기업(시장형),산업통상부,3689.0,191.0,81514.0,157376.0,강원도,0.05177554892924912,1.9306622175331845
(주)공영홈쇼핑,기타공공기관,중소벤처기업부,382.0,14.0,73683.0,168640.0,서울특별시,0.03664921465968586,2.288723314740171
(주)한국가스기술공사,공기업(준시장형),산업통상부,2358.0,182.0,77183.0,158685.0,대전광역시,0.07718405428329092,2.055957918194421
88관광개발(주),기타공공기관,국가보훈부,42.0,2.0,69409.0,146943.0,경기도,0.047619047619047616,2.1170597472950194
KDI국제정책대학원,기타공공기관,국무조정실,163.0,5.0,106224.0,,세종특별자치시,0.03067484662576687,
가축위생방역지원본부,기타공공기관,농림축산식품부,1287.0,1.0,68498.0,132955.0,세종특별자치시,0.000777000777000777,1.9410055768051622
