institution,quarter,quarter_avg_quit_probability
(사)남북교류협력지원협회,2024Q1,0.3743
(사)남북교류협력지원협회,2024Q2,0.3086
(사)남북교류협력지원협회,2024Q3,0.3656
(사)남북교류협력지원협회,2024Q4,0.4014
(재)예술경영지원센터,2024Q1,0.33
(재)예술경영지원센터,2024Q2,0.33
(재)예술경영지원센터,2024Q3,0.316
(재)예술경영지원센터,2024Q4,0.275
(재)우체국금융개발원,2024Q1,0.435
(재)우체국금융개발원,2024Q2,0.45
(재)우체국금융개발원,2024Q3,0.555
(재)우체국금융개발원,2024Q4,0.4825
(재)우체국물류지원단,2024Q1,0.322
(재)우체국물류지원단,2024Q2,0.3433
(재)우체국물류지원단,2024Q3,0.3317
(재)우체국물류지원단,2024Q4,0.3086
(재)우체국시설관리단,2024Q1,0.3376
(재)우체국시설관리단,2024Q2,0.3094
(재)우체국시설관리단,2024Q3,0.3463
(재)우체국시설관리단,2024Q4,0.4025
(재)일제강제동원피해자지원재단,2024Q1,0.37
(재)일제강제동원피해자지원재단,2024Q2,0.5029
(재)일제강제동원피해자지원재단,2024Q3,0.3183
(재)일제강제동원피해자지원재단,2024Q4,0.31
(재)축산환경관리원,2024Q1,0.54
(재)축산환경관리원,2024Q2,0.4144
(재)축산환경관리원,2024Q3,0.4433
(재)축산환경관리원,2024Q4,0.4911
(재)한국보건의료정보원,2024Q1,0.2667
(재)한국보건의료정보원,2024Q2,0.295
(재)한국보건의료정보원,2024Q3,0.3357
(재)한국보건의료정보원,2024Q4,0.3014
(재)한국우편사업진흥원,2024Q1,0.3583
(재)한국우편사업진흥원,2024Q2,0.286
(재)한국우편사업진흥원,2024Q3,0.2575
(재)한국우편사업진흥원,2024Q4,0.3425
(재)한국통계정보원,2024Q1,0.3875
(재)한국통계정보원,2024Q2,0.3
(재)한국통계정보원,2024Q3,0.415
(재)한국통계정보원,2024Q4,0.3871
(주)강원랜드,2024Q1,0.3079
(주)강원랜드,2024Q2,0.3424
(주)강원랜드,2024Q3,0.2985
(주)강원랜드,2024Q4,0.3092
(주)공영홈쇼핑,2024Q1,0.3862
(주)공영홈쇼핑,2024Q2,0.3775
